Customer,Date,Revenue
28,12/31/2015,0
28,1/31/2016,419.25
28,2/29/2016,419.25
28,3/31/2016,419.25
28,4/30/2016,419.25
28,5/31/2016,419.25
28,6/30/2016,419.25
28,7/31/2016,419.25
28,8/31/2016,419.25
28,9/30/2016,419.25
28,10/31/2016,419.25
28,11/30/2016,868.38
28,12/31/2016,868.38
28,1/31/2017,868.38
28,2/28/2017,0
28,3/31/2017,0
28,4/30/2017,0
28,5/31/2017,0
28,6/30/2017,0
28,7/31/2017,0
28,8/31/2017,0
28,9/30/2017,0
28,10/31/2017,0
28,11/30/2017,0
29,1/1/2015,0
29,2/28/2015,0
29,3/31/2015,0
29,4/30/2015,0
29,5/31/2015,0
29,6/30/2015,0
29,7/31/2015,0
29,8/31/2015,0
29,9/30/2015,0
29,10/31/2015,0
29,11/30/2015,0
29,12/31/2015,0
29,1/31/2016,333.33
29,2/29/2016,333.33
29,3/31/2016,333.33
29,4/30/2016,333.33
29,5/31/2016,333.33
29,6/30/2016,333.33
29,7/31/2016,333.33
29,8/31/2016,333.33
29,9/30/2016,333.33
29,10/31/2016,333.33
29,11/30/2016,333.33
29,12/31/2016,333.33
29,1/31/2017,0
29,2/28/2017,0
29,3/31/2017,0
29,4/30/2017,0
29,5/31/2017,0
29,6/30/2017,0
29,7/31/2017,0
29,8/31/2017,0
29,9/30/2017,0
29,10/31/2017,0
29,11/30/2017,0
30,1/1/2015,0
30,2/28/2015,0
30,3/31/2015,0
30,4/30/2015,0
30,5/31/2015,0
30,6/30/2015,0
30,7/31/2015,0
30,8/31/2015,0
30,9/30/2015,0
30,10/31/2015,0
30,11/30/2015,0
30,12/31/2015,0
30,1/31/2016,0
30,2/29/2016,0
30,3/31/2016,802.75
30,4/30/2016,802.75
30,5/31/2016,802.75
30,6/30/2016,802.75
30,7/31/2016,802.75
30,8/31/2016,802.75
30,9/30/2016,802.75
30,10/31/2016,802.75
30,11/30/2016,802.75
30,12/31/2016,802.75
30,1/31/2017,802.75
30,2/28/2017,802.75
30,3/31/2017,802.75
30,4/30/2017,802.75
30,5/31/2017,802.75
30,6/30/2017,802.75
30,7/31/2017,802.75
30,8/31/2017,802.75
30,9/30/2017,802.75
30,10/31/2017,802.75
30,11/30/2017,802.75
31,1/1/2015,0
31,2/28/2015,0
31,3/31/2015,0
31,4/30/2015,0
31,5/31/2015,0
31,6/30/2015,0
31,7/31/2015,0
31,8/31/2015,0
31,9/30/2015,0
31,10/31/2015,0
31,11/30/2015,0
31,12/31/2015,0
31,1/31/2016,363.33
31,2/29/2016,363.33
31,3/31/2016,363.33
31,4/30/2016,363.33
31,5/31/2016,363.33
31,6/30/2016,363.33
31,7/31/2016,363.33
31,8/31/2016,363.33
31,9/30/2016,2506.39
31,10/31/2016,2506.39
31,11/30/2016,2506.39
31,12/31/2016,2506.39
31,1/31/2017,2506.39
31,2/28/2017,2506.39
31,3/31/2017,2506.39
31,4/30/2017,2506.39
31,5/31/2017,2506.39
